id;title;citations;year;authors;journal;abstract;keywords
55;The Future of Shipping: Collaboration Through Digital Data Sharing;14;2020;Mikael Lind, Robert Ward, Henrik Hvid Jensen, Chye Poh Chua, André Simha, Jörgen Karlsson, Lena Göthberg, Toni Penttinen & Despina Panayiotou Theodosiou ;Maritime Informatics ;Some contemporary developments in the maritime sector are discussed and their connection to Maritime Informatics considered. Increased attention has lately been placed upon smartness and maritime operations, such as smart ships and smart ports. Operations are becoming electrified and automated. The future of maritime commerce will be founded on process simplification, standardisation, connectivity, controllability, efficiency, and predictability. The volumes of data shared through digital data streams (DDSs) will expand dramatically in the coming years, and new opportunities for enhanced transparency will surface, and there will be new avenues for collaboration. Such opportunities will enhance the quality of a common situational awareness along the maritime transport chain.;Maritime commerce, Sustainability, Automation, Electrification, Digital data sharing, Collaboration
56;Integrated Ship Energy Flowchart: A digital twin to mitigate GHG emissions;0;2023;"Elias Elias Yfantis; Constantina Ioannou; Andreas Paradeisiotis";SNAME 8th International Symposium on Ship Operations, Management and Economics;The alarming rate of climate change accentuates the need to reduce greenhouse gas (GHG) emissions produced from anthropogenic activities and consequently the consumption of fossil fuels. The transportation sector is one of the most energy-demanding activities, consisting around 27% of the global primary energy demand and one of the major contributors of GHG emissions to the atmosphere, while shipping transportation accounts for nearly 12% of its CO2 emissions. Decarbonization is vital for emission mitigation using innovative technologies, policies, and incentives at a local and international level. In this context, the presented Integrated Ship Energy Flowchart (ISEF), aims to create a digital twin of a ship and carry out deterministic calculations, such as engine power requirements and by extension fuel consumption and emissions, by modelling the various components of a ship’s energy flow. Most modeling approaches depend on tracking data from automatic identification systems (AIS) and commercial vessel databases, accompanied with prohibitive costs for many, as well as missing vessel characteristics. ISEF, on the other hand, aims to fill in the gap in case of missing or costly to obtain data while maintaining the flexibility to utilize field data if available. This is done by providing representative vessel characteristics, detailed engine modeling and simulating components such as environmental conditions (sea-state, wind). At the same time, ISEF develops a library of vessel data including ship particulars, engine and route information among others. Thus, it is also suitable for the validation of tracking information and machine learning or other deterministic algorithms. Additionally, this library will enable the development of a statistically representative ship describing the international fleet. This will therefore improve projection algorithms utilized in calculations and aid the evaluation of mitigation options regarding decarbonisation in terms of the overall fleet. Such a model also enables the investigation of alternative fuels and fuel mixtures, route optimization, and inclusion of cold ironing amongst others. The current objectives include the validation of the core modelling implementation via comparisons with available raw data to serve as a reference case and build the necessary libraries. Therefore, a case study of a specific ship utilizing real navigational data will be used to demonstrate the capabilities of the algorithm.;asia government, djibouti government, engine, marine transportation, eritrea government, saudi arabia government, yemen government, machine learning, andreas paradeisiotis, air emission
57;"Integrated Design and Control Approach for Marine Power Systems Based On Operational Data; “Digital Twin to Design”";1;2021;"Dalia Casanova Mombiela; Mehdi Zadeh";2021 IEEE Transportation Electrification Conference & Expo (ITEC);This paper proposes an algorithm to design ship power systems in the preliminary design phase. As a case study, an embedded control is integrated into the preliminary design of the ship power system, at the level of Energy Management System (EMS). The embedded control developed for the algorithm aims for cost, availability, safety and emissions optimization from the top layer. At the power system level, a few alternatives are considered such as full electric propulsion and fuel-based energy producers. Different Key Performance Indicators (KPIs), Key Exception Indicators (KEIs) and Key Improvement Indicators (KIIs) for design are evaluated for cost optimization purposes. Power plant sizing results of an Offshore Supply Vessel based on batteries or Generating Sets (GENSETs) power contribution are extracted with the proposed pro-clean power plant design algorithm structure. The result of this first simplified simulation not just include a comparative evaluation between 7 different types of batteries for an all electric ship sizing but also a maximum and instantaneous Depth of Discharge (DoD) of the batteries among the OSV load profile register which could be used as a control bandwidth to consider at the EMS level. The presented algorithm structure is a preface for later hybrid systems power plant sizing generalization.;"batteries,control bandwidth,EMS level,hybrid systems power plant,integrated design,control approach,marine power systems,operational data,digital twin,design ship power systems,preliminary design, phase,embedded control,ship power system,Energy Management System
,
safety
,
emissions optimization
,
power system level
,
fuel-based energy producers
,
Different Key Performance Indicators
,
cost optimization purposes
,
power plant sizing results
,
Generating Sets power contribution
,
pro-clean power plant design algorithm structure
,
electric ship sizing"
58;TwinPort: 5G drone-assisted data collection with digital twin for smart seaports;1;2023;Yagmur Yigit, Long D. Nguyen, Mehmet Ozdem, Omer Kemal Kinaci, Trang Hoang, Berk Canberk & Trung Q. Duong ;Scientific Reports volume ;Numerous ports worldwide are adopting automation to boost productivity and modernize their operations. At this point, smart ports become a more important paradigm for handling increasing cargo volumes and increasing operational efficiency. In fact, as ports become more congested and cargo volumes increase, the need for accurate navigation through seaports is more pronounced to avoid collisions and the resulting consequences. To this end, digital twin (DT) technology in the fifth-generation (5G) networks and drone-assisted data collection can be combined to provide precise ship maneuvering. In this paper, we propose a DT model using drone-assisted data collection architecture, called TwinPort, to offer a comprehensive port management system for smart seaports. We also present a recommendation engine to ensure accurate ship navigation within a smart port during the docking process. The experimental results reveal that our solution improves the trajectory performance by approaching the desired shortest path. Moreover, our solution supports significantly reducing financial costs and protecting the environment by reducing fuel consumption.;
59;Power Plant Design Optimization at the Ship Preliminary Design Phase: 'Digital Twin to Design';0;2021;Casanova Mombiela, Dalia;NTNU open;"An algorithm for ship power plant optimization at the step of the preliminary design of a ship is presented here. The document establishes the bones and identifies the intervening factors for a ship power plant first sizing algorithm to where include further data and detailed analysis. It is presented as a first step of a complete project which structure and accuracy is expected to improve each new case study for analysis ending up with a standard pattern for the design of the power plant considering the project nature, ship design specifications, existing installation components, detailed models feedback, the operational profile of the ship and client wishes. The outcome of the algorithm is a scope of optimum solutions within specific operational behavior bandwidths of the system together with different indexes evaluating how the optimum scenario changes out of those.
The retrofit project evaluation of an Offshore Service Vessel is selected in three different design modes.
This first step integrates part of the knowledge acquired during the M.Sc. in Marine Technology studies from different fields, establishing the links from where they can work together. Going from data processing techniques used for optimization purposes to marine machinery environments understanding and real analysis ending up with clean energy enhancements achieved thanks to new control systems strategies research. Nevertheless, the project ended up from the author perspective as an interesting research gap solution from where to continue new approaches, useful in a short term for new power plant topologies' flaws identification and in a long term as a generic tool to help with the power plant design, considering an updated market perspective and specific ship project environments.";
60;Prospect and Industry Issues of Metaverse and Digital Twin Adoption in Nigerian Maritime;2;2022;Nwakanma, C., Njoku, J., Okafor, C., & Kim, D. S.;Proceedings of the 1sth international conference on maritime IT Convergence, Jeju Island, South Korea;"This work reviewed the potential and need for
Metaverse, Digital twin, and the enhancement of maritime
communication infrastructure in the Nigerian maritime sector.
The preliminary review results reveal the need for a more
robust digital twin platform for real-time marine communication
fault detection and evaluation. Similarly, Metaverse promises a
veritable platform for maritime transportation, communication,
and vessel maintenance training. Adopting these technologies c";Africa, digital twin, maritime security, metaverse, onboard maritime communications,
61;International Standardization for Maritime, Underwater Internet of Things and Digital Twin Applications;3;2021;" Eunbi Ko, Delphin Raj, Soo-Young Shin, Seung-Geun Kim, Soo-Hyun Park

 ";WUWNet '21: Proceedings of the 15th International Conference on Underwater Networks & Systems;As a standard development organization, ISO/IEC JTC 1/SC 41 considers standardization of the Internet of Things and digital twin to be applied to maritime and underwater environments. As a result, Working Group 7 has been established in 2021 under the authority of SC 41. This paper introduces the expected ISO/IEC JTC 1/SC 41/WG 7 activities, which contribute to maritime IoT, underwater IoT, and digital twin applications.;
62;"A DIGITAL TWIN FOR SUPPORTING ENERGY MANAGEMENT IN COMPLEX
MARITIME TERMINALS";5;2019;Damiani, L., Revetria, R., & Morra, E.;International Maritime Transport and Logistics Conference;"The price of electric energy is actually a key factor for the economic performance of high energy demanding
logistics centers: the complexity of planning operations and the availability of multiple markets managed
as a national power exchange allow to create synergic tools for simulation modelling of real scenarios with
power consumption inner tool used for electric consumption management. The mix of energy consumption
calculation trough a system dynamics model and the predictive analysis on a short time period for best price
buying on the electricity market represents a driving action for logistics planning operation. This paper
shows a real case implemented into an intermodal logistics center placed in Voltri (Italy), providing an
overview of the harbor simulation and energy price forecasting models, and their role within the interaction
among the decision-making personnel, aimed at electric energy purchase cost optimization.";"Systems dynamics, container terminal modelling, Energy price, predictive algorithm, Energy
Market."
63;Analytics with digital-twinning: A decision support system for maintaining a resilient port;59;2021;Chenhao Zhou a, Jie Xu, Elise Miller-Hooks, Weiwen Zhou, Chun-Hung Chen, Loo Hay Lee, Ek Peng Chew, Haobin Li;Decision Support Systems;In this paper, a Decision Support System (DSS) with digital twinning-based resilience analysis is proposed as a modern tool for port resilience computation and updating. The proposed DSS assesses the resilience of a port under possible disruptive events given its design, operations and potential pre-defined post-event recovery actions to mitigate the impact of the disruption. Digital twinning provides the fidelity required to realistically predict port performance with taken post-event recovery actions under various possible disruptive events. In addition to hedging against impacts from probabilistically known disruption events, this approach also enables inclusion of ordinary operational uncertainties within the resilience evaluation. This is not generally feasible with other existing resilience quantification approaches. To tackle computational challenges of applying a digital twin for real-world size applications, an optimal computing budget allocation policy is adopted to improve computational efficiency. Results of numerical experiments using a real-world size port demonstrate the effectiveness of the proposed DSS and criticality of accounting for ordinary uncertainties in operations in resilience estimation.;Port resilience, digital-twinning-driven analytics, decision support systems, port performance,simulation-optimization, maritime transport
64;Usage of Digital Twin Technologies during System Modeling and Testing in Vessel Traffic Services System Project;4;2019;Serdar ÜZÜMCÜ, Abdullah Aykut MERT, Fatih ATAY;INCOSE International Symposium ;Design and Integration of a Vessel Traffic Services (VTS) System with the implementation of a newly VTS software is a highly complex project with some challenges on interfaces and timing. The involvement of directives of command operation center personal and information from shipleader as stakeholder as well as different systems as automatic identification system, radar systems, electro optical systems, physical security systems beside the traffic services system makes is difficult manage the overall system design. A system of systems approach with MBSE techniques and usage of tools as designing with digital twin technology helps to simplify overviewing system design and checking interface definitions on the left side of the Vee model before implementation and integration process starts. A software intensive system with involvement of electrical and mechanical engineering including structural engineering for measurement of tolerances of sensors installed on towers gives an opportunistic theme for digital twin modeling of devices.;
65;Ship As a Wave Buoy: Using Simulated Data to Train Neural Networks for Real Time Estimation of Relative Wave Direction;16;2019;Bart Mak, Bülent Düz;ASME 2019 38th International Conference on Ocean, Offshore and Arctic Engineering;"Being able to give real time on-board advice, without depending on extensive sets of measured data, is the ultimate goal of the digital twin concept. Ideally, the models used in a digital twin only rely on current in-service data, although they have been built using simulated and possibly some measured data. Working with just the 6-DOF motions of a ship, can the local sea state reliably be estimated using the digital twin concept? Does a general model exist to do so, without the need to measure or simulate the particular ship?

In this paper, we discuss how simulations of an advancing ship, subjected to various sea states, can be used to estimate the relative wave direction from in-service motion measurements of the corresponding ship. Various types of neural networks are used and evaluated with simulated data and measured data. In order to study the generalization power of the neural networks, a range of ships has been simulated, with varying lengths, drafts and geometries. Neural networks have been trained on selections of the ships in this extended training set and evaluated on the remaining ships.

Results show that the developed neural networks give a remarkable performance in simulation data. Furthermore, generalization over geometry is very good, opening the door to train a general model for estimating sea state characteristics. Using the same model for in-service measurements does not perform well enough yet and further research is required. The paper will include discussion on possible causes for this performance gap and some promising ideas for future work.";Artificial neural networks, Buoys, Ships, Trains, Waves, Seas, Simulation, Doors, Geometry, Motion measurement
66;Towards Digital Twinning of Fabrication Lines in Shipyards;1;2023;Neven Hadžić ,Viktor Ložar,Tihomir Opetuk andRobert Keser;Journal of marine science and engineering;The digital twinning concept stands as a remarkable opportunity to integrate sophisticated mathematical models within the context of existing manufacturing systems. Such models may provide shipyard management with predictive analytics, improving the final results at the strategic, tactical, and operational levels. Therefore, the possibility of integrating the Markovian-framework-based finite-state method into the context of ship production is presented in this study, including its outline, digital thread, and factory-floor data reliance. First, the predictive analytics problem is addressed by the finite-state method in the case of the shipyard’s fabrication line, and the obtained results are validated afterward using a numerical model through discrete-event theory. The predictive analytics indicate an almost ideal balancing of the fabrication line, except for the buffers storing stiffeners before the coat-dying and marking operations. In addition, the improvability analysis of the shipyard’s fabrication lines extended the scope of the predictive analytics using bottleneck identification and affecting the key performance indicators through a digital thread, as well as by improved maintenance strategies.;"production system engineering; digital twin; shipyard; fabrication line; finite-state method; key performance indicators; predictive analytics; steady-state response; shipyard-floor data; improvability"
67;Development of a diesel engine’s digital twin for predicting propulsion system dynamics;43;2020;Oleksiy Bondarenko, Tetsugo Fukuda;Energy;A digital twin is the essential part of a recent and unavoidable trend in ship operation digitalisation. The digital twin is a virtual replica of real ship or a particular system that coexists with its physical counterpart and maps the dynamic behaviour in real-time. Thus, the digital twin combines physical space real-time data with a set of dynamic models representing the physical counterpart in the cyberspace. The problem of digital twin development is a trade-off between insight into the dynamic process and real-time execution constraint. This paper describes a modelling approach that combines continuous time-domain cycle-mean value engine model with the crank-angle resolved phenomenological combustion model, satisfying the real-time execution constraint. The set of conservation laws, notably energy and mass, supplemented with the phenomenological Wiebe combustion model, is treated in the integral form allowing transformation into a set of nonlinear algebraic equations. The solution of the resulting system exhibits fast speed and accuracy as compared with the traditional approach combining differential equations and Runge-Kutta solver.;
68;Small-scale test bench of maritime thruster for digital twin research;6;2022;"Sampo Haikonen; Ivar Koene; Joni Keski-Rahkonen; Raine Viitala"; 2022 IEEE International Instrumentation and Measurement Technology Conference (I2MTC);This paper presents a small-scale powertrain test bench, which was designed and built to simulate a maritime azimuth thruster. Down-scaled replicas enable studying large systems in a cost-effective and less laborious manner. The test bench was equipped with instrumentation able to research dynamic effects, loads and vibration acting in a real azimuth thruster. Two servomotors were used in each end of the powertrain. The other acted as the drive motor and the other was used to create excitations and load from the propeller side. Torsional vibration was detected by measuring the twist of the shafts and by utilizing torque transducers. Analysis of the measurement data indicated that the lowest resonance frequencies of the test bench were similar to full-scale thrusters. The revealed dynamic properties suggested by the measurement data enabled the test bench to be concluded as adequate for emulating the torsional dynamics of the full-scale thrusters. The built apparatus will be used for developing digital twins, physical (wired and wireless) and virtual sensors, and techniques for condition monitoring.;Torsional vibration,Thruster,Small-scale powertrain,Test bench,Virtual sensor,Digital twin
69;The Need for Sufficiently Accurate Geometrical Representations of Ship Hull Forms for Digital Twins for Performance Prediction;0;2023;"Stefan Harries; Jörg Brunswig; Scott Gatchell; Simon Hauschulz; Arndt Schumacher; Fabian Thies; Jochen Marzi";SNAME 8th International Symposium on Ship Operations, Management and Economics;Operational performance optimization is a key element to reduce both fuel consumption and emissions and meet current and upcoming legislation, e.g., the EEXI, the CII and the European ETS. While technical innovation and improvements are important, the careful use of fuel on board plays a vital role to meet these targets. Here route and speed optimization are decisive. The basis of any approach to operational optimization is a digital twin which allows predicting the behavior of the ship and its energy consuming systems in a reliable and suitably accurate way. Here geometry plays an important role. The German R&D project MariData (maridata.org) addresses (present) shortcomings of onboard energy management systems. One specific element highlighted in this paper focuses on the desired quality of geometric representations for digital twins when used as a basis for performance analysis and improved energy consumption during operation. The paper compares different approaches and necessary levels of modeling fidelity to indicate attainable accuracy, aiming at further elucidating how good hydrodynamics need to be represented.;germany government, hull, accurate digital twin, sustainability, artificial intelligence, operational performance optimization harry, marine transportation, europe government, resistance, social responsibility
70;Simulation Method in Automotive, Aviation and Maritime Industries for Digital Twin: A Brief Survey;0;2023;"Runze Mao; YuanJiang Li; Houxiang Zhang";2023 IEEE 18th Conference on Industrial Electronics and Applications (ICIEA);In this work, a brief survey of simulation methods used to create digital twins (DTs) or assist DTs in the automotive, aviation, and marine industries is presented. The simulation methods are classified as model-driven, data-driven, and hybrid methods. In addition, simulation methods in these three industries are studied from the phases of design, manufacturing, and operation. The similarities, differences and characteristics of the simulation methods applied to the automotive, aviation and maritime industries are discussed and summarized from several aspects. Model-driven approaches are used more frequently than the other two methods in design and manufacturing phases, while hybrid methods have great potential to support different operations of DT-related studies in the reviewed three industries. In addition, issues of prognostics and health management (PHM) such as fault diagnosis, remaining useful life (RUL) has recently been more inclined to be studied using data-driven approaches. According to our analysis we believe that as DT technology evolves, the hybrid approach will become the mainstream strategy for DT-based modeling.;simulation method,digital twin,automotive,aviation,maritime
71;Streamlining the Execution of Maritime Commissioning with a Digital Assistance System;0;2023;Tim Maximilian Jansen, Oliver Karl, Ahmed Elzalabany & Hermann Lödding ; IFIP Advances in Information and Communication Technology book series ;Providing the best possible support to commissioning engineers is critical for efficient execution of commissioning and on-time delivery of a shipbuilding project. This paper contributes to current research on the digitization of maritime commissioning and builds on existing approaches to a digital twin. Based on an analysis of the execution process, this paper presents a human-centric digital assistance system that is designed to provide the commissioning engineers with an improved information supply and to increase situational awareness in the complex and error-prone ETO process. In addition, the system can be connected to the ship automation system via OPC UA to display, check, and document sensor values directly in the assistance system. Problems and rework items can be documented context-sensitively and with little effort and fed back into the digital twin. The automated documentation and continuous enrichment of the digital twin help reduce effort, make the commissioning process more transparent, and progress indications more resilient. The prototype implementation at three shipyards promises improvements in productivity and quality.;ship commissioning, digital twin, human-centric production systems, digital assistance system
72;Behavior-Based Formation Control Digital Twin for Multi-AUG in Edge Computing;12;2023;"Jiabao Wen; Jiachen Yang; Yang Li; Jingyi He; Zhengjian Li; Houbing Song"; IEEE Transactions on Network Science and Engineering ;The new generation of artificial intelligence technology has improved the autonomous monitoring capabilities of marine equipment. The ocean monitoring platform based on edge computing realizes the autonomous collaboration of multi-agent equipment groups. Autonomous Underwater Glider (AUG) is a new type of energy-saving marine equipment that can realize long-range ocean exploration. However, the non-negligible power constraints, time delays, communication failures and other unfavorable factors in the special underwater working environment have brought great challenges to the underwater monitoring operations of multi-AUG systems. This research establishes an improved artificial potential field method scheme based on the Maritime Internet of Things, which is based on the AUG leader's edge device to control multi-AUGs. In this process, an improved artificial potential field method is designed to solve the local optimal problem through behavior-based path optimization. Then, multi-AUGs are controlled to adapt to the task team plan based on the edge computing of the AUG leader. From the experimental results, it effectively realizes the AUG group cooperative control in the leader mode. Meanwhile, we established a marine communication model and AUG physics engine control model to complete a digital twin of multi-AUG monitoring tasks.;Digital twin,multi-AUG cooperative,AUG behavior,maritime communication,path planning
73;Comparison of added resistance methods using digital twin and full-scale data;23;2021;Bhushan Taskar, Poul Andersen;Ocean Engineering;"In this paper, full-scale data for two ships have been used for the comparison of five different added resistance methods. The effect of using separate wave spectra for wind waves and swell on performance prediction has been explored. The importance of the peak enhancement factor(γ) in the JONSWAP spectrum for added resistance computation has been studied. Simulation model including calm water resistance, added resistance and wind resistance has been used. Ships have been simulated in the same weather conditions and propeller speed as in the case of full-scale ships using different methods for added resistance. The performance of these methods has been quantified by comparing speed and power predictions with the full-scale data. The paper also discusses the challenges involved in using full-scale data for such a comparison because of difficulty in isolating the effect of added resistance in full-scale data.

It was observed that three out of five methods were able to predict added resistance even in high waveheights. Even though these methods showed significantly different RAOs, its effect on speed and power prediction was minor. Simulation results were not sensitive to the choice of peak enhancement factor(γ) in the JONSWAP spectrum. There was minor improvement in results by using separate wave spectra for wind waves and swell instead of single wave spectrum for combined wind waves and swell.";Added resistance in wavesFull-scale dataData analysisShip performanceDigital twin
74;Port Digital Twin Development for Decarbonization: A Case Study Using the Pusan Newport International Terminal;0;2023; Jeong-On Eom,Jeong-Hyun Yoon,Jeong-Hum Yeon and Se-Won Kim;Marine science and engineering;The maritime industry is a major carbon emission contributor. Therefore, the global maritime industry puts every effort into reducing carbon emissions in the shipping chain, which includes vessel fleets, ports, terminals, and hinterland transportation. A representative example is the carbon emission reduction standard mandated by the International Maritime Organization for international sailing ships to reduce carbon emissions this year. Among the decarbonization tools, the most immediate solution for reducing carbon emissions is to reduce vessel waiting time near ports and increase operational efficiency. The operation efficiency improvement in maritime stakeholders’ port operations can be achieved using data. This data collection and operational efficiency improvement can be realized using a digital twin. This study develops a digital twin that measures and reduces carbon emissions using the collaborative operation of maritime stakeholders. In this study, the authors propose a data structure and backbone scheduling algorithm for a port digital twin. The interactive scheduling between a port and its vessels is investigated using the digital twin. The digital twin’s interactive scheduling for the proposed model improved predictions of vessel arrival time and voyage carbon emissions. The result of the proposed digital twin model is compared to an actual operation case from the Busan New Port in September 2022, which shows that the proposed model saves over 75 % of the carbon emissions compared with the case.;" carbon emission; port digital twin; just-in-time arrival; vessel digital twin"
75;Concept design of a digital twin architecture for ship structural health management;0;2022;Zhiping Cheng, Eric Tan, Minbo Cai and Allan Ross Magee;J. Phys.: Conf. Ser.;Ocean-going vessels frequently experience severe weather conditions. Occasionally, the actual environmental loads are much larger than design values, resulting in deviations from design conditions that may cause serious structural damage. A structural digital twin can enhance predictability and reliability of marine structures, and thus provide vessel operators, owners, and stakeholders with a more accurate overview of a vessel's condition. It can also help reduce lifecycle costs through proposing rational and optimal inspection, maintenance, repair programs, and assist on maximizing service life and mission availability. This paper uses a benchmark vessel to investigate structural behaviors of the vessel through dynamic loading approach. The correlation between structure members and critical responses are established, and high stress concentration areas have been identified. Subsequently, this paper develops a conceptual digital twin architecture. The proposed digital twin predicts responses of the entire structure to measured or predicted environmental conditions with a hybrid model combining numerical simulations with measurements. While the traditional structural monitoring system focuses on the health condition of typical hot spots, the proposed digital twin may improve structural health awareness of the entire hull structure based on a limited number of sensors.;
76;iFEM for Marine Structure Digital Twins - Effective Modeling Strategies;2;2020;"Chance Phelps; Alexander Tessler";SNAME Maritime Convention;This paper presents the findings of a collaborative study conducted by the American Bureau of Shipping (ABS) and Tessler Research Associates, LLC (TRA). The study investigated the use of the inverse finite element method (iFEM) to build a structural digital twin of a simplified containership model. A direct finite element analysis was conducted using a high-fidelity shell model for a series of simple loading conditions, which provided reference solutions. Strains from the reference solutions were used as strain sensor input at discrete locations in an iFEM model, and the subsequent solutions compared to the reference solutions.;inverse finite element method, subset 3, deflection plot, marine structure digital twin, virtual event, ifem model, section strain, reference solution, strips, effective modeling strategy smc2020
77;Digital twin paradigm: A systematic literature review;360;2021;Concetta Semeraro, Mario Lezoche, Hervé Panetto, Michele Dassisti;Computers in Industry;"Manufacturing enterprises are facing the need to align themselves to the new information technologies (IT) and respond to the new challenges of variable market demand. One of the key enablers of this IT revolution toward Smart Manufacturing is the digital twin (DT). It embeds a “virtual” image of the reality constantly synchronized with the real operating scenario to provide sound information (knowledge model) to reality interpretation model to draw sound decisions. The paper aims at providing an up-to date picture of the main DT components, their features and interaction problems. The paper aims at clearly tracing the ongoing research and technical challenges in conceiving and building DTs as well, according to different application domains and related technologies. To this purpose, the main questions answered here are: ‘What is a Digital Twin?’; ‘Where is appropriate to use a Digital Twin?’; ‘When has a Digital Twin to be developed?’; ‘Why should a Digital Twin be used?’; ‘How to design and implement a Digital Twin?’; ‘What are the main challenges of implementing a Digital Twin?’. This study tries to answer to the previous questions funding on a wide systematic literature review of scientific research, tools, and technicalities in different application domains.";" Digital Twin; Industry 4.0; Cyber-Physical Systems; Predictive manufacturing. "
78;Digital Twin for Structural Monitoring and Predictive Maintenance of a Maritime Crane;0;2020;Villarreal Lozano, Carolina;NTNU open;"Industry 4.0 has revolutionized the industries by the application of technology in multiple ways. One of its focus is digital twins, which are virtual representations of physical products simulated in specialized software with the purpose of obtaining predictions on the product behavior. Maritime cranes are constantly exposed to severe loads, obtaining a wide range of failure modes, most related to structural factors and can be predicted by a digital twin. This project aims to develop a digital twin model to provide the crane with real-time structural monitoring that would constantly measure the structure status and loads, making possible the prediction of operations and capabilities by mixing the digital twin with data from sensors mounted in the physical crane.
 ";
79;Applications of Digital Twin across Industries: A Review;59;2022;Maulshree Singh,Rupal Srivastava,Evert Fuenmayor,Vladimir Kuts, Yuansong Qiao,Niall Murray and Declan Devine ;applied sciences;One of the most promising technologies that is driving digitalization in several industries is Digital Twin (DT). DT refers to the digital replica or model of any physical object (physical twin). What differentiates DT from simulation and other digital or CAD models is the automatic bidirectional exchange of data between digital and physical twins in real-time. The benefits of implementing DT in any sector include reduced operational costs and time, increased productivity, better decision making, improved predictive/preventive maintenance, etc. As a result, its implementation is expected to grow exponentially in the coming decades as, with the advent of Industry 4.0, products and systems have become more intelligent, relaying on collection and storing incremental amounts of data. Connecting that data effectively to DTs can open up many new opportunities and this paper explores different industrial sectors where the implementation of DT is taking advantage of these opportunities and how these opportunities are taking the industry forward. The paper covers the applications of DT in 13 different industries including the manufacturing, agriculture, education, construction, medicine, and retail, along with the industrial use case in these industries.;"Digital Twin; Industry 4.0; Smart Manufacturing; system optimization; predictive maintenance"
80;Methodology for Selection of Co-Simulation Platform for Digital Twin Development of Maritime Energy Systems;0;2023;Vaidehi Gosala, Ludger Hachmeister, Sophie Stutz, Jan-Erik Giering, Sören Ehlers;ASME 2023 42nd International Conference on Ocean, Offshore and Arctic Engineering;Digital twins (DTs) are being increasingly considered in the maritime industry for the purposes of system design, monitoring, control, optimization, operational planning, maintenance, fault detection, and life cycle management. A system simulation can be utilized to enable many of these functionalities. Co-simulation based on the Functional Mock-up Interface (FMI) is typically used to interface component models independently developed in different modelling platforms, possibly having different supplier intellectual property restrictions. Currently, more than 170 software tools support FMI, a subset of which also support co-simulation. In this paper, a methodology for the selection of a co-simulation platform for a maritime DT is presented. The methodology is demonstrated for two maritime energy system case studies with different DT purposes and users, that represent different phases of a ship’s lifecycle. MATLAB/Simulink and Open Simulation Platform (OSP) are used as example co-simulation platforms. The DT’s purpose and its users are considered to understand the functional and interface requirements for a qualitative comparison of the platforms. Additionally, the platforms’ performance is compared quantitatively by co-simulating Functional Mock-up Units (FMUs) of the component models. The derived requirements, as well as the platforms’ capabilities and offerings, are then analyzed to select a suitable platform. It is shown that the choice of the co-simulation platform can be different according to the DT’s purpose, users, and phase of the ship’s and DT’s lifecycle.;digital twins, simulation, co-simulation, maritime energy systems
81;A Digital Twin Enabled Decision Support Framework for Ship Operational Optimisation Towards Decarbonisation;0;2023;Antonis Antonopoulos, Bill Karakostas, Takis Katsoulakos, Anargyros Mavrakos, Theodosis Tsaousis & Stathis Zavvos ;ICICT 2023: Proceedings of Eighth International Congress on Information and Communication Technology ;Management of the combined effects of several factors is needed to achieve the required ship operational performance towards emissions reduction (‘decarbonisation’) for green shipping. Identifying these factors, defining the effects of them on each other, assessing their importance, and selecting decarbonisation solutions, require a suitable management framework. This paper discusses the potential of the recent IT paradigm of digital twins for the optimisation of ship performance, regarding decarbonisation as the ultimate goal. The management framework described in this paper is underpinned by a data-driven digital twinning platform and assists stakeholders to continuously optimise current ship operations as well as evolve the next generation of energy efficient ships.;Ship decarbonisation,Digital twin,Knowledge Graph,Simulation
82;Online Digital Twin and a Decision Support for Safe Maneuvering of R/V Gunnerus;0;2023;Sanchez Martin, Luis Fernando;NTNU open;"This thesis will present the development of an online digital twin for NTNU's Research Vessel Gunnerus. Maritime digital twins are becoming a more and more prevalent technology used for the development, maintenance, and evolution of maritime vessels. A digital twin is at its core a virtual representation of a physical asset, it can simulate the interaction of the diverse systems involved in the operation of its real-life counterpart and combine them with available sensor data. As such, a digital twin can accompany a vessel from its early stages of development, going then through the integration of additional systems, testing of new implementations, monitoring of the real vessel, and its maintenance.
The focus of this work is on displaying real-time information coming from Gunnerus for the purposes of vessel monitoring and decision support for safe navigation. To this effect, a backend implementation has been developed for interfacing with the real-time data stream coming from Gunnerus. This backend will then be used to provide processed data to the applications in charge of vessel monitoring and decision support for safe navigation. These applications will be implemented as a 3D visualization based on the Autoferry Gemini simulator, and a 2D electronic chart web application, both conveying information related to Gunnerus and the surrounding vessels. Furthermore, the 2D electronic chart will display information regarding the decision support for safe navigation. This decision support system will use real-time data in order to display parameters from automatic radar plotting aids related to nearby vessels. Additionally, a safe trajectory based on control barrier functions will be displayed in the same chart as a suggestion for safe navigation for the officer on watch.
The capabilities of the resulting framework for an online digital twin of Gunnerus will be demonstrated with examples based on real data collected through its development.";
